日期,投放,投放ID,投放,订单,显示数,点击数,(%)点击率,唯一显示数,唯一点击数
2018-06-11,pc-专题banner导流,606720,,BJ-18-033,19983,20,0.1,14432,20
2018-06-10,C-Suite Targeting_MPU_1_300*250,606635,,O-18-008,2492,0,0,2002,0
2018-06-10,C-suite Section Targeting_MPU_1_300*600,606636,,O-18-008,2426,0,0,1958,0
2018-06-10,Global Economy Section Targeting_MPU_1_300*250,606633,,O-18-008,2702,0,0,1456,0
2018-06-10,Global Economy Section _MPU_1_300*600,606634,,O-18-008,2010,0,0,1113,0
2018-06-10,Management Section Targeting_MPU_1_300*250,606619,,O-18-008,3719,0,0,2846,0
2018-06-10,Management Section Targeting_MPU_1_300*600,606618,,O-18-008,3720,0,0,2817,0
2018-06-10,Mobile-专题-mpu,606719,,BJ-18-033,3863,17,0.44,2879,16
2018-06-10,Mobile-专题-顶通,606718,,BJ-18-033,5075,1,0.02,3357,1
2018-06-10,mobile-mpu2,606646,,BJ-18-029,0,1,0,0,1
2018-06-10,mobile-mpu2-补投,606663,,BJ-18-029,0,5,0,0,5
2018-06-10,pc-专题-半幅画中画1,606714,,BJ-18-033,1179,2,0.17,652,2
2018-06-10,pc-专题-半幅画中画2,606715,,BJ-18-033,1172,0,0,644,0
2018-06-10,pc-专题-底通,606717,,BJ-18-033,1137,0,0,619,0
2018-06-10,pc-专题-顶通,606713,,BJ-18-033,1184,3,0.25,649,3
2018-06-10,pc-专题-画中画3,606716,,BJ-18-033,1148,0,0,623,0
2018-06-10,pc-专题banner导流,606720,,BJ-18-033,19997,6,0.03,11890,6
2018-06-09,C-Suite Targeting_MPU_1_300*250,606635,,O-18-008,2493,0,0,2124,0
2018-06-09,C-suite Section Targeting_MPU_1_300*600,606636,,O-18-008,2426,0,0,2086,0
2018-06-09,Global Economy Section Targeting_MPU_1_300*250,606633,,O-18-008,2702,0,0,1525,0
2018-06-09,Global Economy Section _MPU_1_300*600,606634,,O-18-008,2010,0,0,1286,0
2018-06-09,Management Section Targeting_MPU_1_300*250,606619,,O-18-008,3720,0,0,3053,0
2018-06-09,Management Section Targeting_MPU_1_300*600,606618,,O-18-008,3720,0,0,3031,0
2018-06-09,Mobile-专题-mpu,606719,,BJ-18-033,3935,5,0.13,2837,4
2018-06-09,Mobile-专题-顶通,606718,,BJ-18-033,5270,5,0.09,3320,5
2018-06-09,PC-homepage-mpu1,606644,,BJ-18-029,0,1,0,0,1
2018-06-09,mo-topbanner-bu,606721,,SH-18-011,0,2,0,0,1
2018-06-09,mobile-mpu1,606645,,BJ-18-029,0,1,0,0,1
2018-06-09,mobile-mpu1-补投,606658,,BJ-18-029,0,2,0,0,2
2018-06-09,mobile-mpu2,606646,,BJ-18-029,0,1,0,0,1
2018-06-09,mobile-mpu2-补投,606663,,BJ-18-029,0,11,0,0,7
2018-06-09,pc-专题-半幅画中画1,606714,,BJ-18-033,1508,0,0,920,0
2018-06-09,pc-专题-半幅画中画2,606715,,BJ-18-033,1506,2,0.13,920,2
2018-06-09,pc-专题-底通,606717,,BJ-18-033,1459,0,0,887,0
2018-06-09,pc-专题-顶通,606713,,BJ-18-033,1517,0,0,932,0
2018-06-09,pc-专题-画中画3,606716,,BJ-18-033,1468,0,0,891,0
2018-06-09,pc-专题banner导流,606720,,BJ-18-033,19999,5,0.03,12714,5
2018-06-08,C-Suite Targeting_MPU_1_300*250,606635,,O-18-008,2491,0,0,2309,0
2018-06-08,C-suite Section Targeting_MPU_1_300*600,606636,,O-18-008,2423,0,0,2240,0
2018-06-08,Global Economy Section Targeting_MPU_1_300*250,606633,,O-18-008,2700,0,0,2120,0
2018-06-08,Global Economy Section _MPU_1_300*600,606634,,O-18-008,2009,0,0,1663,0
2018-06-08,MOBILE-MPU2,606693,,BJ-18-027,89906,72,0.08,75033,70
2018-06-08,MOBILE-顶通,606692,,BJ-18-027,69802,57,0.08,59899,55
2018-06-08,MOBILE-顶通-补投,606694,,BJ-18-027,330384,255,0.08,269010,241
2018-06-08,Management Section Targeting_MPU_1_300*250,606619,,O-18-008,3715,0,0,3310,0
2018-06-08,Management Section Targeting_MPU_1_300*600,606618,,O-18-008,3714,0,0,3343,0
2018-06-08,Mobile-Mpu1,606727,,BJ-18-035,30723,32,0.1,22031,29
2018-06-08,Mobile-底通,606711,,BJ-18-033,129818,39,0.03,98486,36
2018-06-08,Mobile-画中画2,606712,,BJ-18-033,49943,64,0.13,43797,62
2018-06-08,Mobile-专题-mpu,606719,,BJ-18-033,8908,11,0.12,6246,11
2018-06-08,Mobile-专题-顶通,606718,,BJ-18-033,11086,19,0.17,6793,18
2018-06-08,PC-HP-半幅画中画1-补投,606730,,BJ-18-033,0,2,0,0,1
2018-06-08,PC-homepage-mpu1,606644,,BJ-18-029,21974,36,0.16,19410,28
2018-06-08,PC-homepage-mpu1-补投,606657,,BJ-18-029,373864,230,0.06,130517,202
2018-06-08,PC-homepage-mpu2,606647,,BJ-18-029,25548,8,0.03,22296,8
2018-06-08,mo-topbanner,606667,,SH-18-011,139809,198,0.14,19007,175
2018-06-08,mo-topbanner-bu,606721,,SH-18-011,276782,363,0.13,219275,331
2018-06-08,mobile-mpu1,606645,,BJ-18-029,159700,323,0.2,123198,276
2018-06-08,mobile-mpu1-补投,606658,,BJ-18-029,443286,849,0.19,313844,713
2018-06-08,mobile-mpu1-补投,606740,,BJ-18-033,0,14,0,0,3
2018-06-08,mobile-mpu2,606646,,BJ-18-029,249784,214,0.09,185824,187
2018-06-08,mobile-mpu2-补投,606663,,BJ-18-029,913604,1371,0.15,610358,1053
2018-06-08,mobile-顶通,606726,,BJ-18-035,35678,45,0.13,27563,43
2018-06-08,pc-hp-mpu1,606665,,SH-18-011,38370,16,0.04,31784,13
2018-06-08,pc-hp-mpu1-bu,606741,,SH-18-011,73256,9,0.01,36828,9
2018-06-08,pc-hp-半幅画中画2,606709,,BJ-18-033,40004,13,0.03,32761,13
2018-06-08,pc-hp-半幅画中画2-补投,606738,,BJ-18-033,43880,39,0.09,38792,38
2018-06-08,pc-hp-顶通,606704,,BJ-18-033,72893,56,0.08,53538,54
2018-06-08,pc-hp-顶通-补投,606739,,BJ-18-033,20869,24,0.12,12322,21
2018-06-08,pc-ros-mpu2,606648,,BJ-18-029,34943,19,0.05,23838,17
2018-06-08,pc-ros-mpu3,606666,,SH-18-011,127295,69,0.05,56525,66
2018-06-08,pc-ros-半幅画中画2,606710,,BJ-18-033,134750,71,0.05,60487,63
2018-06-08,pc-专题-半幅画中画1,606714,,BJ-18-033,3066,3,0.1,1868,3
2018-06-08,pc-专题-半幅画中画2,606715,,BJ-18-033,3063,0,0,1865,0
2018-06-08,pc-专题-底通,606717,,BJ-18-033,2988,0,0,1814,0
2018-06-08,pc-专题-顶通,606713,,BJ-18-033,3074,2,0.07,1872,2
2018-06-08,pc-专题-画中画3,606716,,BJ-18-033,3001,1,0.03,1829,1
2018-06-08,pc-专题banner导流,606720,,BJ-18-033,19981,3,0.02,14601,3
2018-06-07,C-Suite Targeting_MPU_1_300*250,606635,,O-18-008,2490,0,0,2243,0
